screen_name,name,followers_count,statuses_count,favorite_count,retweets,
profile,JamieAsnow,Jamie Anderson,60632,2522,
profile,JamieAsnow,Jamie Anderson,60632,2522,
p,r,o,f,i,l,e,,,J,a,m,i,e,A,s,n,o,w,,,J,a,m,i,e, ,A,n,d,e,r,s,o,n,,,6,0,6,3,2,,,2,5,2,2,,,
,
profile,JamieAsnow,Jamie Anderson,60632,2522,
p,r,o,f,i,l,e,,,J,a,m,i,e,A,s,n,o,w,,,J,a,m,i,e, ,A,n,d,e,r,s,o,n,,,6,0,6,3,2,,,2,5,2,2,,,
,
post,ShawnJohnson,Shawn Johnson East,482818,10834,74,5,
post,highsteph,steph davis,13276,7965,7,0,
post,ShawnJohnson,Shawn Johnson East,482818,10834,74,5,
post,highsteph,steph davis,13276,7965,7,0,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,ShawnJohnson,Shawn Johnson East,482818,10834,74,5,
post,highsteph,steph davis,13276,7965,7,0,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,jimkchin,Jimmy Chin,33486,2418,25,6,
post,highsteph,steph davis,13276,7965,7,0,
post,highsteph,steph davis,13276,7965,7,0,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,highsteph,steph davis,13276,7965,7,0,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,jimkchin,Jimmy Chin,33487,2418,25,6,
post,highsteph,steph davis,13276,7965,7,0,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,jimkchin,Jimmy Chin,33487,2418,25,6,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,highsteph,steph davis,13276,7965,7,0,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,highsteph,steph davis,13276,7965,7,0,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
post,highsteph,steph davis,13276,7965,7,0,
post,highsteph,steph davis,13276,7965,7,0,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
post,highsteph,steph davis,13276,7965,7,0,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,highsteph,steph davis,13276,7965,7,0,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,highsteph,steph davis,13276,7965,7,0,
post,highsteph,steph davis,13276,7965,7,0,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
post,highsteph,steph davis,13276,7965,7,0,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,highsteph,steph davis,13276,7965,7,0,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,highsteph,steph davis,13276,7965,7,0,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,highsteph,steph davis,13276,7965,7,0,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,highsteph,steph davis,13276,7965,7,0,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
post,ShawnJohnson,Shawn Johnson East,482816,10834,74,5,
post,highsteph,steph davis,13276,7965,7,0,
post,jimkchin,Jimmy Chin,33488,2418,25,6,
profile,JamieAsnow,Jamie Anderson,60633,2522,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,ShawnJohnson,Shawn Johnson East,482837,10842,73,5,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,ShawnJohnson,Shawn Johnson East,482837,10842,73,5,
post,highsteph,steph davis,13282,7970,7,0,
post,highsteph,steph davis,13282,7970,7,0,
post,highsteph,steph davis,13282,7970,7,0,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
post,highsteph,steph davis,13282,7970,7,0,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,highsteph,steph davis,13282,7970,7,0,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,ShawnJohnson,Shawn Johnson East,482837,10842,73,5,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
post,highsteph,steph davis,13282,7970,7,0,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
post,highsteph,steph davis,13282,7970,7,0,
post,ShawnJohnson,Shawn Johnson East,482837,10842,73,5,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
post,highsteph,steph davis,13282,7970,7,0,
post,ShawnJohnson,Shawn Johnson East,482837,10842,73,5,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,ShawnJohnson,Shawn Johnson East,482836,10842,73,5,
post,ShawnJohnson,Shawn Johnson East,482836,10842,73,5,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
post,ShawnJohnson,Shawn Johnson East,482836,10842,73,5,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,ShawnJohnson,Shawn Johnson East,482836,10842,73,5,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,highsteph,steph davis,13282,7970,7,0,
post,highsteph,steph davis,13282,7970,7,0,
post,highsteph,steph davis,13282,7970,7,0,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
post,highsteph,steph davis,13282,7970,7,0,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,highsteph,steph davis,13282,7970,7,0,
post,jimkchin,Jimmy Chin,33584,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,ShawnJohnson,Shawn Johnson East,482836,10842,73,5,
post,ShawnJohnson,Shawn Johnson East,482835,10842,73,5,
post,ShawnJohnson,Shawn Johnson East,482835,10842,73,5,
post,jimkchin,Jimmy Chin,33585,2426,25,6,
post,ShawnJohnson,Shawn Johnson East,482835,10842,73,5,
post,jimkchin,Jimmy Chin,33585,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,ShawnJohnson,Shawn Johnson East,482835,10842,73,5,
post,jimkchin,Jimmy Chin,33585,2426,25,6,
profile,JamieAsnow,Jamie Anderson,60792,2523,
post,highsteph,steph davis,13281,7970,7,0,
post,jimkchin,Jimmy Chin,33585,2426,25,6,
post,jimkchin,Jimmy Chin,33585,2426,25,6,
